"Authors","Author full names","Author(s) ID","Title","Source title","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source"
"Hossain I.; Puppala S.; Alam M.J.; Talukder S.","Hossain, Ismail (58984982000); Puppala, Sai (58073763200); Alam, Md. Jahangir (57188726855); Talukder, Sajedul (57195281460)","58984982000; 58073763200; 57188726855; 57195281460","A visual approach to tracking emotional sentiment dynamics in social network commentaries","Social Network Analysis and Mining","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203297147&doi=10.1007%2fs13278-024-01332-8&partnerID=40&md5=cd639741c816f57c897449a6fd9e7a45","The expansion of social media has unlocked a real-time barometer of public opinion. This paper introduces a novel framework to analyze sentiment shifts in social network comment sections, a reflection of the broader public discourse over time. Leveraging a pre-trained uncased RoBERTalarge model, we predict emotional scores from user comments, mapping these to key sentiment trends such as Approval, Toxicity, Obscenity, Threat, Hate, Offensive, and Neutral. Our methodology employs machine learning techniques to train a dataset that connects emotional scores with these trends, generating trend probability scores. We utilize a bottom-up recursive algorithm to aggregate emotional scores within comment threads, enabling the prediction of trend scores using three distinct aggregation methods. The results demonstrate that our emotional prediction model achieves an AUC of 0.92, and XGBoost stands out with an F1 score exceeding 0.40. Our research elucidates the temporal evolution of online public sentiment, enhancing the understanding of digital social dynamics and offering insights for strategic online interaction, intervention, and content moderation. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2024.","","Adversarial machine learning; Economic and social effects; Machine learning; Prediction models; Sentiment analysis; Aggregation methods; Bottom up; F1 scores; Large models; Machine learning techniques; Prediction modelling; Public opinions; Real- time; Recursive algorithms; Social media; Barometers","Article","Scopus"
"Guerreiro J.; Garriga R.; Lozano Bagén T.; Sharma B.; Karnik N.S.; Matić A.","Guerreiro, João (57412200500); Garriga, Roger (57695006500); Lozano Bagén, Toni (59317571000); Sharma, Brihat (57210145546); Karnik, Niranjan S. (9041850400); Matić, Aleksandar (57194066077)","57412200500; 57695006500; 59317571000; 57210145546; 9041850400; 57194066077","Transatlantic transferability and replicability of machine-learning algorithms to predict mental health crises","npj Digital Medicine","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203379683&doi=10.1038%2fs41746-024-01203-8&partnerID=40&md5=67e022747be6e5673d88fb44c834b33f","Transferring and replicating predictive algorithms across healthcare systems constitutes a unique yet crucial challenge that needs to be addressed to enable the widespread adoption of machine learning in healthcare. In this study, we explored the impact of important differences across healthcare systems and the associated Electronic Health Records (EHRs) on machine-learning algorithms to predict mental health crises, up to 28 days in advance. We evaluated both the transferability and replicability of such machine learning models, and for this purpose, we trained six models using features and methods developed on EHR data from the Birmingham and Solihull Mental Health NHS Foundation Trust in the UK. These machine learning models were then used to predict the mental health crises of 2907 patients seen at the Rush University System for Health in the US between 2018 and 2020. The best one was trained on a combination of US-specific structured features and frequency features from anonymized patient notes and achieved an AUROC of 0.837. A model with comparable performance, originally trained using UK structured data, was transferred and then tuned using US data, achieving an AUROC of 0.826. Our findings establish the feasibility of transferring and replicating machine learning models to predict mental health crises across diverse hospital systems. © The Author(s) 2024.","","Adversarial machine learning; Contrastive Learning; Federated learning; Electronic health; Health crisis; Health records; Healthcare systems; Machine learning algorithms; Machine learning models; Machine-learning; Mental health; Predictive algorithms; Replicability; adult; aged; algorithm; article; electronic health record; female; health care system; hospital planning; human; learning algorithm; machine learning; major clinical study; male; mental health; national health service; United States; Electronic health record","Article","Scopus"
"Lenover M.; Bedi S.; Mann S.; Melek W.","Lenover, Michael (57204080223); Bedi, Sanjeev (7005256947); Mann, Stephen (56779534400); Melek, William (6603485503)","57204080223; 7005256947; 56779534400; 6603485503","Improvements to a Machine Learning Machining Feature Recognition System","Computer-Aided Design and Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196497991&doi=10.14733%2fcadaps.2025.119-135&partnerID=40&md5=f9d710d55c32c34a93b0548013f15915","Pre-processing and training techniques were applied to improve the performance of a model trained with an existing machining feature recognition approach by Yeo et al. [20] using a smaller dataset that more effectively mimics the complexity of CAD models used in industry. Three improvements to the feature recognition algorithm developed by Yeo et al. were explored: the incorporation of dropout to improve model stability and accuracy, the incorporation of ID3 tree pre-classification to reduce training time by reducing the size of the deep learning dataset, and the incorporation of crossover data generation to improve classification accuracy by reducing over-fitting due to insufficient training data. Incorporating dropout improved stability and improved 5-fold cross validation accuracy. Further, incorporating a 2-deep ID3 decision tree pre-classification only marginally improved classification performance but was effective in reducing the size of deep learning training dataset. Crossover data generation did not improve model performance. Using the model trained on the generic CAD dataset, and incorporating 10% dropout and a 2-deep ID3 tree, models from the real-world dataset were classified. This classifier was effective in classifying some simple features, but had poor accuracy overall. To improve this accuracy, an incremental learning technique was applied. The generic model was re-trained using samples from the real-world dataset, which improved the classification accuracy of the system. © 2025 U-turn Press LLC.","CNC Machining; Feature Recognition; Machine Learning","Computer aided design; Data reduction; Decision trees; Deep learning; Learning systems; Classification accuracy; CNC machining; Data generation; Features recognition; Machine-learning; Machining feature; Pre-processing techniques; Pre-training; Real-world datasets; Recognition systems; Classification (of information)","Article","Scopus"
"Melo S.; Thurler L.; Paes A.; Clua E.","Melo, Sidney (57211436936); Thurler, Leonardo (57346391500); Paes, Aline (8847330600); Clua, Esteban (24450364400)","57211436936; 57346391500; 8847330600; 24450364400","Game provenance graph-based representation learning vs metrics-based machine learning: An empirical comparison on predictive game analytics tasks","Entertainment Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196619512&doi=10.1016%2fj.entcom.2024.100755&partnerID=40&md5=6abadb79f59573a1161f12d2bf70584c","Predicting events and behavior in games is a crucial task of game analytics, both during gameplay, such as predicting wins, and after, like forecasting player churn. Game metrics have been widely adopted due to their human-readable and task-oriented nature. However, these metrics vary between games and require expert knowledge. Game analytics has evolved with techniques that primarily handle non-tabular and sequential data, like graphs and time series. However, existing methods still depend on traditional game metrics from extensive feature engineering. In parallel, graph representation learning has been applied to game provenance graphs — structures that log game events as nodes and link them through causal relationships. This approach may allow analysts to bypass traditional game metrics and learn relevant downstream features during training. This paper compares this metric-less graph-based representation learning with traditional metric-based machine learning in two predictive game analytics tasks: win prediction and hit prediction. Our results show that the same graph-based representation learning architecture achieves competitive results in win prediction and outperforms metric-based approaches in hit prediction, suggesting its suitability for predictive game analytics tasks. This method could significantly benefit as it does not require game-specific metric expertise, and its learned features are versatile across multiple tasks. © 2024","Event prediction; Game analytics; Graph representation learning; Machine learning; Win prediction","Graphic methods; Predictive analytics; Empirical comparison; Event prediction; Game analytic; Game metrics; Graph representation; Graph representation learning; Graph-based representations; Hit predictions; Machine-learning; Win prediction; Machine learning","Article","Scopus"
"Jin Z.; Cai J.; Di Y.; Lei Y.; Fu Y.; Liu Y.; Yang X.","Jin, Zihui (59315053300); Cai, Jian (57221908781); Di, Yingze (57209685931); Lei, Yunlin (57209681676); Fu, Yu (59315250800); Liu, Yuhan (57574203400); Yang, Xu (57697579500)","59315053300; 57221908781; 57209685931; 57209681676; 59315250800; 57574203400; 57697579500","Adaptive structure generation and neuronal differentiation for memory encoding in SNNs","Neurocomputing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203160805&doi=10.1016%2fj.neucom.2024.128470&partnerID=40&md5=13394739027e90459eb0dcc799a41ce4","Memory is the core of cognition. The exploration of the memory encoding mechanism or the representation mechanism of information in the Spiking Neural Network (SNN) is the basis for the in-depth study of memory. In this paper, we study the memory encoding mechanism of multilayer SNN models from a biomimetic perspective and explore a method using the high biological likelihood of SNN to enable the network to effectively simulate memory effects. We proposed a series of heuristic neuron-growing connection algorithms and supervised network weight learning algorithms, which were applied to the unsupervised and supervised training process of the presentation layer. These methods optimized the structure of the representation layer, achieved functional differentiation of neurons, and enabled the network to generate differentiated representations for different data modes. Under our algorithm, the proposed model achieves stable convergence with identical pattern inputs, demonstrating distinct representations and sensitivities to different visual modalities. To achieve stable information expression within the network, we conducted various comparative experiments to determine diverse parameters of the complex network. This paper contributes to the development of Brain-inspired Intelligence by bridging the gap between computer science and neuroscience by using simulations to validate biological hypotheses and guide machine learning. © 2024 The Author(s)","Hebb's theory; Information storage; Memory encoding; Pattern recognition; Spiking neural network; Topology learning","Encoding (symbols); Image coding; Multilayer neural networks; Self-supervised learning; Supervised learning; biomimetic material; neurotransmitter; Adaptive structure; Encoding mechanism; Hebb theory; Memory encoding; Neural-networks; Neuronal differentiation; Representation mechanism; Spiking neural network; Structure generation; Topology learning; adaptive structure generation; Article; artificial intelligence; artificial neural network; binocular convergence; biological model; brain function; cell structure; cognitive model; computer heuristics; computer simulation; Hodgkin Huxley equation; human; leaky integrated and fire model; learning algorithm; long term depression; long term potentiation; machine learning; mathematical analysis; membrane potential; memory encoding; mental representation; multilayer perceptron; nerve cell differentiation; nerve cell plasticity; neuroscience; pattern recognition; peak spike based cumulative connection growing algorithm; peak spike based optimal connection growing algorithm; recurrent neural network; spike only based connection growing algorithm; spiking neural network; spiking timing dependent plasticity; supervised machine learning; unsupervised machine learning; working memory network; Neurons","Article","Scopus"
"Yang L.; Osher S.J.","Yang, Liu (57203122217); Osher, Stanley J. (7005411569)","57203122217; 7005411569","PDE generalization of in-context operator networks: A study on 1D scalar nonlinear conservation laws","Journal of Computational Physics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202748312&doi=10.1016%2fj.jcp.2024.113379&partnerID=40&md5=83c6398d6c13881ee023f0a98ae94fe5","Can we build a single large model for a wide range of PDE-related scientific learning tasks? Can this model generalize to new PDEs without any fine-tuning? In-context operator learning and the corresponding model In-Context Operator Networks (ICON) represent an initial exploration of these questions. The capability of ICON regarding the first question has been demonstrated previously. In this paper, we present a detailed methodology for solving PDE problems with ICON, and show how a single ICON model can make forward and reverse predictions for different equations with different strides, provided with appropriately designed data prompts. We show positive evidence for the second question above, through a study on 1D scalar nonlinear conservation laws, a family of PDEs with temporal evolution. In particular, we show that an ICON model trained on conservation laws with cubic flux functions can generalize well to some other flux functions of more general forms, without fine-tuning. We also show how to broaden the range of problems that an ICON model can address, by transforming functions and equations to ICON's capability scope. We believe that the progress in this paper is a significant step towards the goal of training a foundation model for PDE-related tasks under the in-context operator learning framework. © 2024 The Author(s)","Conservation laws; In-context learning; Machine learning; Operator learning","Conservation law; Context learning; Context operators; In contexts; In-context learning; Machine-learning; Network models; Nonlinear conservation law; Operator learning; Operator networks","Article","Scopus"
"Ma L.; Yan Y.; Dai S.; Shao D.; Yi S.; Wang J.; Li J.; Yan J.","Ma, Lei (56349331800); Yan, Yukun (59151594500); Dai, Shaoxing (54893003800); Shao, Dangguo (58333478100); Yi, Sanli (35340183100); Wang, Jiawei (59310490700); Li, Jingtao (57216727576); Yan, Jiangkai (59151918200)","56349331800; 59151594500; 54893003800; 58333478100; 35340183100; 59310490700; 57216727576; 59151918200","Research on prediction of human oral bioavailability of drugs based on improved deep forest","Journal of Molecular Graphics and Modelling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202965842&doi=10.1016%2fj.jmgm.2024.108851&partnerID=40&md5=39131a3e9c1df1d1697c10e1ec887a3a","Human oral bioavailability is a crucial factor in drug discovery. In recent years, researchers have constructed a variety of different prediction models. However, given the limited size of human oral bioavailability data sets, the challenge of making accurate predictions with small sample sizes has become a critical issue in the field. The deep forest model, with its adaptively determinable number of cascade levels, can perform exceptionally well even on small-scale data. However, the original deep forest suffers unbalanced multi-grained scanning process and premature stopping of cascade forest training. In this paper, we propose a human oral bioavailability predict method based on an improved deep forest, called balanced multi-grained scanning mapping cascade forest (bgmc-forest). Firstly, the mordred descriptor method is selected to feature extraction, then enhanced features are obtained by the improved balanced multi-grained scanning, which solves the problem of missing features at both ends. And finally, the prediction results are obtained by feature mapping cascaded forests, which is based on principal component analysis and cascade forests, ensures the effectiveness of the cascade forest. The superiority of the model constructed in this paper is demonstrated through comparative experiments, while the effectiveness of the improved module is verified through ablation experiments. Finally the decision-making process of the model is explained by the shapley additive explanations interpretation algorithm. © 2024 Elsevier Inc.","Bioavailability; Deep forest; Molecular modeling","Accurate prediction; Bioavailability; Critical issues; Data set; Deep forest; Drug discovery; Forest modelling; Oral bioavailabilities; Prediction modelling; Small Sample Size; Article; binary classification; consensus; decision making; deep forest; deep learning; dimensionality reduction; drug bioavailability; drug structure; feature extraction; feature selection; lipid membrane; lipophilicity; machine learning; measurement accuracy; membrane permeability; molecular model; prediction; predictive value; random forest; Shapley additive explanation; surface area; Prediction models","Article","Scopus"
"Shakya D.; Deshpande V.; Safari M.J.S.; Agarwal M.","Shakya, Deepti (57539500700); Deshpande, Vishal (55318285800); Safari, Mir Jafar Sadegh (56047228600); Agarwal, Mayank (56046122800)","57539500700; 55318285800; 56047228600; 56046122800","Performance evaluation of machine learning algorithms for the prediction of particle Froude number (Frn) using hyper-parameter optimizations techniques","Expert Systems with Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200825678&doi=10.1016%2fj.eswa.2024.124960&partnerID=40&md5=a1b79f5e435cf850a609c513a0efe692","The sewer system is a critical component of urban infrastructure, responsible for transporting wastewater and stormwater away from populated areas. Proper design and management of sewer systems are essential to prevent flooding, reduce environmental pollution, and ensure public health and safety. One crucial parameter in sewer system design and management is the particle Froude number (Frn). The goal of this study is to develop a predictive algorithm that takes into account the relevant input parameters, such as volumetric sediment concentration (Cv), dimensionless grain size of particles (Dgr), the ratio of sediment median size to the hydraulic radius (d/R), pipe friction factor (λ) to accurately predict the Frn using an ablation study for the condition of non-deposition with clean bed data. The proposed approach is based on hyper-parameter optimization techniques, i.e., Babysitting method (BSM), GridSearchCV (GS), random search (RS), Bayesian optimization with Gaussian process (BO-GP), Bayesian optimization with tree-structures Parzen estimator (BO-TPE), and particle swarm optimization (PSO), which are applied to the four machine learning algorithms such as random forest (RF), gradient boosting (GB), K-nearest neighbor (KNN), and support vector regression (SVR). The proposed algorithms are compared with the existing algorithms in terms of coefficient of determination (R2), root mean square error-observations standard deviation ratio (RSR), and normalized mean absolute error (NMAE) to assess the performance of the proposed algorithms. The results show that the proposed algorithms yield superior outcomes across all performance metrics. Among the proposed algorithms, GB+PSO predicted Frn with significant accuracy and has the highest prediction accuracy (R2 = 0.996, RSR = 0.068, and NMAE = 0.009, respectively), followed by RF+BO-GP, SVR+RS, and KNN+PSO. We have provided a comparison with the existing state-of-the-art methods and beat them. We evaluate these proposed algorithms against several widely recognized empirical equations found in the existing literature. © 2024 Elsevier Ltd","Empirical equations; F<sub>rn</sub>; Machine learning algorithms; Optimization techniques; Sewer system","Adaptive boosting; Forestry; Learning systems; Machine learning; Mean square error; Nearest neighbor search; Parameter estimation; Particle swarm optimization (PSO); Random forests; Structural optimization; Bayesian optimization; Empirical equations; Hyper-parameter optimizations; Machine learning algorithms; Optimization techniques; Parameter optimization techniques; Particle swarm; Random searches; Sewer system; Swarm optimization; Forecasting","Article","Scopus"
"Prasad P.; Mandal S.; Naik S.S.; Loveson V.J.; Borah S.; Chandra P.; Sudheer K.","Prasad, Pankaj (57111434100); Mandal, Sourav (57202566696); Naik, Sahil Sandeep (59318623200); Loveson, Victor Joseph (7801670365); Borah, Simanku (56106326800); Chandra, Priyankar (57304132800); Sudheer, Karthik (59318754700)","57111434100; 57202566696; 59318623200; 7801670365; 56106326800; 57304132800; 59318754700","Integration of multi-temporal SAR data and robust machine learning models for improvement of flood susceptibility assessment in the southwest coast of India","Applied Computing and Geosciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203406929&doi=10.1016%2fj.acags.2024.100189&partnerID=40&md5=f13e1fc41abcaa194ae85b6b6460035e","The flood hazards in the southwest coastal region of India in 2018 and 2020 resulted in numerous casualties and the displacement of over a million people from their homes. In order to mitigate the loss of life and resources caused by recurrent major and minor flood events, it is imperative to develop a comprehensive spatial flood zonation map of the entire area. Therefore, the main aim of the present study is to prepare a flood susceptible map of the southwest coastal region of India using synthetic-aperture radar (SAR) data and robust machine learning algorithms. Accurate flood and non-flood locations have been identified from the multi-temporal Sentinel-1 images. These flood locations are correlated with sixteen flood conditioning geo-environmental variables. The Boruta algorithm has been applied to determine the importance of each flood conditioning parameter. Six efficient machine learning models, namely support vector machine (SVM), k-nearest neighbors (KNN), artificial neural network (ANN), random forest (RF), partial least squares (PLS) and penalized discriminant analysis (PDA) have been applied to delineate the flood susceptible areas of the study region. The performance of the models has been evaluated using several statistical criteria, including area under curve (AUC), overall accuracy, specificity, sensitivity and kappa index. The results have revealed that all models have performed more than 90% of AUC due to the high precision of radar data. However, the RF and SVM models have outperformed other models in terms of all statistical parameters. The findings have identified approximately 13% of the study region as highly vulnerable to flood hazards, emphasizing the need for proper planning and management in these areas. © 2024 The Authors","Flood disaster; GIS; Machine learning; SAR; Southwest coastal region of India","Adversarial machine learning; Contrastive Learning; Digital storage; Flood control; Flood damage; Nearest neighbor search; Network security; Random forests; Coastal regions; Flood disaster; Flood hazards; Loss of life; Machine learning models; Machine-learning; Multi-temporal; Radar data; Random forests; Southwest coastal region of india; Support vector machines","Article","Scopus"
"Huang Z.; Hu Q.","Huang, Zhisheng (7406219483); Hu, Qing (37010240200)","7406219483; 37010240200","Tree hole rescue: an AI approach for suicide risk detection and online suicide intervention","Health Information Science and Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202998743&doi=10.1007%2fs13755-024-00298-3&partnerID=40&md5=df8ab0944bc1dbe34f94ad5e386423db","Adolescent suicide has become an important social issue of general concern. Many young people express their suicidal feelings and intentions through online social media, e.g., Twitter, Microblog. The ""tree hole"" is the Chinese name for places on the Web where people post secrets. It provides the possibility of using Artificial Intelligence and big data technology to detect the posts where someone express the suicidal signal from those “tree hole” social media. We have developed the Web-based intelligent agents (i.e., AI-based programs) which can monitor the “tree hole” websites in Microblog every day by using knowledge graph technology. We have organized Tree-hole Rescue Team, which consists of more than 1000 volunteers, to carry out suicide rescue intervention according to the daily monitoring notifications. From 2018 to 2023, Tree-hole Rescue Team has prevented more than 6600 suicides. A few thousands of people have been saved within those 6 years. In this paper, we present the basic technology of Web-based Tree Hole intelligent agents and elaborate how the intelligent agents can discover suicide attempts and issue corresponding monitoring notifications and how the volunteers of Tree Hole Rescue Team can conduct online suicide intervention. This research also shows that the knowledge graph approach can be used for the semantic analysis on social media © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Knowledge graph approach; Mental health; Online suicide intervention; Suicide risk detection","algorithm; Article; artificial intelligence; clinical decision making; computer language; drowning; Internet; machine learning; rescue personnel; social media; suicide; traffic accident","Article","Scopus"
"Parsa S.; Zakeri-Nasrabadi M.; Turhan B.","Parsa, Saeed (8407441400); Zakeri-Nasrabadi, Morteza (57219747851); Turhan, Burak (21744228000)","8407441400; 57219747851; 21744228000","Testability-driven development: An improvement to the TDD efficiency","Computer Standards and Interfaces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195814781&doi=10.1016%2fj.csi.2024.103877&partnerID=40&md5=a0bfbccdc6d8bbde5634e344f19e0c20","Test-first development (TFD) is a software development approach involving automated tests before writing the actual code. TFD offers many benefits, such as improving code quality, reducing debugging time, and enabling easier refactoring. However, TFD also poses challenges and limitations, requiring more effort and time to write and maintain test cases, especially for large and complex projects. Refactoring for testability is improving the internal structure of source code to make it easier to test. Refactoring for testability can reduce the cost and complexity of software testing and speed up the test-first life cycle. However, measuring testability is a vital step before refactoring for testability, as it provides a baseline for evaluating the current state of the software and identifying the areas that need improvement. This paper proposes a mathematical model for calculating class testability based on test effectiveness and effort and a machine-learning regression model that predicts testability using source code metrics. It also introduces a testability-driven development (TsDD) method that conducts the TFD process toward developing testable code. TsDD focuses on improving testability and reducing testing costs by measuring testability frequently and refactoring to increase testability without running the program. Our testability prediction model has a mean squared error of 0.0311 and an R2 score of 0.6285. We illustrate the usefulness of TsDD by applying it to 50 Java classes from three open-source projects. TsDD achieves an average of 77.81 % improvement in the testability of these classes. Experts’ manual evaluation confirms the potential of TsDD in accelerating the TDD process. © 2024 Elsevier B.V.","Automated refactoring; Machine learning; Software methodology; Software testability; Test-first development","Cost reduction; Life cycle; Machine learning; Mean square error; Open source software; Regression analysis; Software design; Automated refactoring; Automated test; Code quality; Machine-learning; Refactorings; Software development approach; Software methodologies; Software testability; Test-first development; Testability; Software testing","Article","Scopus"
"He Y.; Liu S.","He, Yutao (59180497900); Liu, Shengfen (59180768300)","59180497900; 59180768300","Intelligent video recommendation and interactive e-learning mode for English teaching courses based on machine learning","Entertainment Computing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196525898&doi=10.1016%2fj.entcom.2024.100720&partnerID=40&md5=19d8fd55fe9a5dc683dbe595944eef86","With the continuous deepening of intelligent education in China, English education is receiving increasing attention, and educational reform is urgent. However, English education in China is still in the early stages of intelligence, and the current educational resources lack uniformity, teaching methods are single, and the standards for measuring educational quality also need to be improved. Therefore, this article studies the intelligent recommendation system for English teaching course videos based on machine learning. Firstly, the relevant theories of machine learning were analyzed, and the multiple linear regression, recurrent neural network algorithms, and logistic regression models in machine learning technology were analyzed. At the same time, Markov decision processes are also used to reinforce machine learning algorithms. Secondly, an English teaching video recommendation platform was established to analyze the regional preference and style preference in the field of video recommendation. Finally, an English course recommendation system was developed through the video recommendation technology of machine learning and the current situation of English teaching courses, which can promote the innovation and application of English teaching models. © 2024 Elsevier B.V.","English teaching; Intelligence; Machine learning; Video recommendation","E-learning; Learning algorithms; Multiple linear regression; Recommender systems; Recurrent neural networks; Reinforcement learning; Teaching; E - learning; English educations; English teaching; Intelligence; Intelligent educations; Intelligent video; Learning mode; Machine-learning; On-machines; Video recommendation; Markov processes","Article","Scopus"
"Choo S.; Park H.; Jung J.-Y.; Flores K.; Nam C.S.","Choo, Sanghyun (57207355594); Park, Hoonseok (57208863359); Jung, Jae-Yoon (55575978400); Flores, Kevin (43461192400); Nam, Chang S. (8421659200)","57207355594; 57208863359; 55575978400; 43461192400; 8421659200","Improving classification performance of motor imagery BCI through EEG data augmentation with conditional generative adversarial networks","Neural Networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203163358&doi=10.1016%2fj.neunet.2024.106665&partnerID=40&md5=2ae778b809f1c293a13260d7e5232454","In brain-computer interface (BCI), building accurate electroencephalogram (EEG) classifiers for specific mental tasks is critical for BCI performance. The classifiers are developed by machine learning (ML) and deep learning (DL) techniques, requiring a large dataset for training to build reliable and accurate models. However, collecting large enough EEG datasets is difficult due to intra-/inter-subject variabilities and experimental costs. This leads to the data scarcity problem, which causes overfitting issues to training samples, resulting in reducing generalization performance. To solve the EEG data scarcity problem and improve the performance of the EEG classifiers, we propose a novel EEG data augmentation (DA) framework using conditional generative adversarial networks (cGANs). An experimental study is implemented with two public EEG datasets, including motor imagery (MI) tasks (BCI competition IV IIa and III IVa), to validate the effectiveness of the proposed EEG DA method for the EEG classifiers. To evaluate the proposed cGAN-based DA method, we tested eight EEG classifiers for the experiment, including traditional MLs and state-of-the-art DLs with three existing EEG DA methods. Experimental results showed that most DA methods with proper DA proportion in the training dataset had higher classification performances than without DA. Moreover, applying the proposed DA method showed superior classification performance improvement than the other DA methods. This shows that the proposed method is a promising EEG DA method for enhancing the performances of the EEG classifiers in MI-based BCIs. © 2024 Elsevier Ltd","Brain-computer interface (BCI); Data augmentation (DA); Electroencephalogram (EEG); Generative adversarial networks (GANs); Motor imagery (MI)","Adversarial machine learning; Deep learning; Electroencephalography; Large datasets; Adversarial networks; Augmentation methods; Brain-computer interface; Classification performance; Data augmentation; Electroencephalogram; Generative adversarial network; Motor imagery; accuracy; analytic method; Article; artificial neural network; classification; classification algorithm; classifier; controlled study; data augmentation; deep learning; diagnostic test accuracy study; discriminant analysis; electroencephalogram; electroencephalography; Generative adversarial network; human; human experiment; imagery; learning algorithm; machine learning; measurement accuracy; receiver operating characteristic; support vector machine; training; Generative adversarial networks","Article","Scopus"
"Filipe de Lima Munguba C.; Villa Ochoa A.A.; de Novaes Pires Leite G.; Araújo da Costa A.C.; Peixoto da Costa J.Â.; Duarte de Menezes F.; Alves de Mendonça E.P.; de Petribú Brennand L.J.; de Castro Vilela O.; Guedes de Souza M.G.","Filipe de Lima Munguba, Caio (59319168700); Villa Ochoa, Alvaro Antonio (59157768000); de Novaes Pires Leite, Gustavo (58528823900); Araújo da Costa, Alexandre Carlos (58903752800); Peixoto da Costa, José Ângelo (59319345400); Duarte de Menezes, Frederico (57222710701); Alves de Mendonça, Evandro Pedro (59319689100); de Petribú Brennand, Leonardo José (58975532900); de Castro Vilela, Olga (58072224300); Guedes de Souza, Marrison Gabriel (58528560500)","59319168700; 59157768000; 58528823900; 58903752800; 59319345400; 57222710701; 59319689100; 58975532900; 58072224300; 58528560500","Fault detection framework in wind turbine pitch systems using machine learning: Development, validation, and results","Engineering Applications of Artificial Intelligence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203463636&doi=10.1016%2fj.engappai.2024.109307&partnerID=40&md5=90d76f6f7d3d47abc36fec4b7a9b9215","This work develops a methodology for detecting faults in wind turbines through supervised machine-learning classification methods focusing in two modes of operation. The Normal mode will be related to the regular operation of the wind turbines and in the case of the abnormal mode, the system will be cataloged as Pitch system failure. This methodology uses real data through the supervisory control and data acquisition (SCADA) system and the recording of events and actions (LOG alarm system). Sixteen classifications artificial intelligence (AI) models were tested, such as Random Forest Classifier (RF), Gradient Boosting Classifier (GBC), Extra Trees Classifier (ET), Extreme Gradient Boosting (XGBOOST), Light Gradient Boosting Machine (LIGHTGBM), Categorical Boosting Classifier (CATBOOST), Adaptative Boosting Classifier (ADA), Decision Tree Classifier (DT), Linear Discriminant Analysis (LDA), K-Nearest Neighbors Classifier (KNN), Logistic Regression (LR), Naive Bayes (NB), Quadratic Discriminant Analysis (QDA), Dummy Classifier (DC), Super vector machine (SVM), Ridge Classifier (RC). The training process model was carried out by structuring the dataset in 75% for training and validation and 25% for the final test, considering cross-validation and optimization of the hyperparameters. The Random Forest Classifier (RF) and Extra Trees Classifier (ET) classifiers models presented the best performances, and the models with the lowest performances were K-Nearest Neighbors Classifier (KNN) and Linear Discriminant Analysis (LDA) ones. The average hit effectiveness for both Healthy and Faulty operating modes was approximately 80% across most of the models developed. © 2024 Elsevier Ltd","Cross-validation procedure; Fault detection; Machine learning; Pitch system failure; Supervised classification model; Wind turbines","Adaptive boosting; Adversarial machine learning; Barium alloys; Failure modes; Fault detection; Fracture mechanics; Logistic regression; Nearest neighbor search; Self-supervised learning; Semi-supervised learning; Vector control (Electric machinery); Classification models; Cross validation; Cross-validation procedure; Faults detection; Gradient boosting; Machine-learning; Pitch system failure; Supervised classification; Supervised classification model; System failures; Wind turbines","Article","Scopus"
